bus,mae_pu,mae_pct,rmse_pu,mape_pct,max_error_pu,max_error_pct,r2,bias_pu,true_mean,true_std
0,0.0014643276695700614,0.14643276695700613,0.0021437550056953745,0.1468437800882456,0.008966139383480787,0.8966139383480787,0.5218143051881645,-0.00016380574641441492,0.9962018784516833,0.0031001082693499367
1,0.0015039857218680486,0.15039857218680486,0.0021010009158630933,0.15085581801696607,0.00712344468916104,0.712344468916104,0.5250216085713965,-0.0001045864037345856,0.9963143204859567,0.003048521873890604
2,0.003023706429727475,0.3023706429727475,0.0038596292041950375,0.31140308010408013,0.014980542677567432,1.4980542677567432,0.4765676353321491,-0.000316429681085737,0.9706000774567358,0.005334765055506784
3,0.002587685435516671,0.2587685435516671,0.0038953024544427953,0.26632467357781564,0.02071044982716974,2.071044982716974,0.21919682051166334,-0.00020705466830053698,0.9742113745745352,0.004408292446703931
4,0.001945819217990412,0.1945819217990412,0.0032101651915731545,0.19669726614430852,0.016543126319757184,1.6543126319757184,0.15401912805639062,5.725484016619209e-05,0.9913403852688961,0.0034901742459723523
5,0.0033239299853586655,0.33239299853586657,0.004231727518252555,0.334727102346601,0.018509562580792283,1.8509562580792283,0.31192178382447033,7.343610478238393e-05,0.993026838696472,0.005101510574952128
6,0.0027104733410907036,0.27104733410907034,0.004037943347326421,0.2738133722700971,0.017791082819909265,1.7791082819909265,0.5301418048998627,-0.0002777499318299881,0.986241757905501,0.0058908344566595845
7,0.0023169611377019785,0.23169611377019786,0.003448220701439722,0.23962867794710546,0.014276855435702118,1.4276855435702118,0.17371677328302737,0.0001833229137776926,0.9660855824874521,0.0037934170024223487
8,0.002452117514438903,0.24521175144389032,0.0035348372862936965,0.24875756852820136,0.015432493129229785,1.5432493129229785,0.34168755769812387,-0.00015988996170749782,0.9862568204655527,0.004356657264988259
9,0.0026536572720571782,0.2653657272057178,0.00389073852085666,0.26239143660204906,0.02148297532384391,2.148297532384391,0.31182611417073103,-6.680436990531668e-05,1.0109817154016283,0.004690109157495478
10,0.0031556543578462005,0.31556543578462004,0.005297888407650151,0.3200620174133848,0.028842821773696903,2.8842821773696903,0.23788415086842596,-2.8486193446579655e-05,0.9846277987373158,0.006068653054902317
11,0.0035046447677315727,0.3504644767731573,0.0052298673879591934,0.35534273906527536,0.028879803696584272,2.887980369658427,0.49763070121671016,-6.12380177189431e-05,0.9848266353279758,0.007378687735082185
12,0.005104832854548522,0.5104832854548522,0.007516330162161736,0.5040593965932079,0.04386529383645543,4.386529383645543,0.6051417526335761,-0.0006690559294112797,1.0086478290464767,0.011961488908520874
13,0.003110329459139596,0.3110329459139596,0.005135192123617274,0.3144890746852675,0.025996221970402855,2.5996221970402855,0.050016759769651586,0.00022644234663749652,0.9900591533088039,0.005268642427167887
14,0.0030863771559372557,0.30863771559372555,0.004200797106925693,0.3125992679254814,0.014368659570357378,1.4368659570357378,0.6345527143535743,-0.00042946571231591623,0.9858254295003483,0.006948952386092695
15,0.002546953335982688,0.2546953335982688,0.003551975683222585,0.2568053948209372,0.01483093307511174,1.483093307511174,0.503034475307006,-0.00032726285190471825,0.9896293401453007,0.005038564853378336
16,0.0033955853455268302,0.33955853455268303,0.004732454983799543,0.34028693829286,0.017739208725618183,1.7739208725618183,0.5845814162915471,-0.0002650682830702267,0.9974404047632109,0.0073424928311247506
17,0.004372712611543612,0.43727126115436116,0.005552657647359431,0.4350009605912664,0.020294977091629418,2.029497709162942,0.6959492963030762,-0.0002722663600808284,1.0056784827430614,0.01006996337846458
18,0.0032115963120994194,0.32115963120994195,0.004484893111702368,0.3237316288819839,0.01706938455851925,1.7069384558519252,0.4097386788994446,-0.00029249992989265896,0.9910882839264746,0.005837540870501559
19,0.00443775653344399,0.44377565334439895,0.005847935725689075,0.4425982776982274,0.016883032748341797,1.6883032748341797,0.5878145075618497,-0.00019114225377383609,1.001516080789464,0.00910869666714834
20,0.004058651203855177,0.40586512038551764,0.005263216368694697,0.4026987153477304,0.024132574154240194,2.4132574154240194,0.6867706938413625,-0.0004426071458240144,1.006687945466556,0.00940416044019383
21,0.005549566331790171,0.5549566331790171,0.008039491839243735,0.5691345229585852,0.034438355520485686,3.4438355520485686,0.3534843312423198,-0.0005747765189814424,0.9670236211902309,0.009998597163557782
22,0.005134817146301172,0.5134817146301173,0.006525776685886653,0.5075226168258068,0.016133057145126584,1.6133057145126584,0.6569206764539811,-0.0002992910386171943,1.0106637412549107,0.011141276062394404
23,0.0026626457034477245,0.26626457034477247,0.0035061225401528204,0.27691195252316525,0.014704430207479247,1.4704430207479247,0.5734449763151725,-0.00030263051881035505,0.9602560643900797,0.0053683343932357805
