scenario_id,total_gen_power,total_gen_reactive,num_gens_at_pmax,num_gens_at_pmin,num_gens_at_limit,num_gens_in_service,total_load_p,total_load_q,total_gen_at_bus,avg_voltage,min_voltage,max_voltage,voltage_std,max_angle_deg,min_angle_deg,angle_spread_deg,power_imbalance,power_imbalance_pct,max_branch_flow,avg_branch_flow,max_line_loading_pct,avg_line_loading_pct
0,2197.6762061694453,274.5392061590067,1,1,2,32.0,2164.895644176565,439.7810408129613,2197.6762061694453,1.0012558449660391,0.9789589841988052,1.0230306721795441,0.01077168055567092,26.80619119042754,6.082047777262034,20.724143413165507,32.78056199288039,1.5141867036897632,244.41209387453128,92.47735338798837,99.6007446266016,24.437318821240442
1,2204.7445205279337,336.7589984727423,1,13,14,33.0,2164.895644176565,439.7810408129613,2204.744520527933,0.9980042149250625,0.9623252930694531,1.0204069239257922,0.013601014433317479,24.41569484242808,-4.121795794398821,28.537490636826902,39.848876351368745,1.84068347398452,250.62685565918633,100.42493648824347,99.88677809246266,25.792428286833
2,2191.015899452829,231.8135027837014,1,1,2,33.0,2164.895644176565,439.7810408129613,2191.015899452829,1.0026629641499791,0.9767950271854097,1.0267115769425081,0.010738812234607353,12.722416860288746,-10.97109927793258,23.693516138221327,26.120255276264288,1.2065364603844142,204.32604266477244,81.84130431522317,92.63863204526852,21.527878454434315
3,2191.015899452829,231.8135027837014,1,1,2,33.0,2164.895644176565,439.7810408129613,2191.015899452829,1.0026629641499791,0.9767950271854097,1.0267115769425081,0.010738812234607353,12.722416860288746,-10.97109927793258,23.693516138221327,26.120255276264288,1.2065364603844142,204.32604266477244,81.84130431522317,92.63863204526852,21.527878454434315
4,2191.9968542713746,261.28132097368876,1,1,2,33.0,2164.895644176565,439.7810408129613,2191.996854271375,1.000023473131429,0.9775100184924992,1.0195049797905522,0.01130116781413259,10.818278030239554,-9.837974651298538,20.656252681538092,27.10121009480963,1.2518483358636803,239.4105988752531,83.21177494000705,92.66488333850744,21.644514936803585
5,2186.200533090675,216.47936986670547,1,1,2,32.0,2164.895644176565,439.7810408129613,2186.200533090675,1.0037534167282025,0.9780763075085466,1.0280544386433994,0.010948882455890782,-19.002750336083864,-38.73138594380538,19.728635607721515,21.30488891411005,0.984106969378357,220.24005108026495,76.31237379145095,54.89754182869814,20.032682273523346
6,2196.5331971543046,307.4978852250306,1,1,2,33.0,2164.895644176565,439.7810408129613,2196.533197154305,1.000956844969035,0.9713529660329582,1.0320469483360328,0.013682698383931349,14.9498872767617,-14.723551846514539,29.67343912327624,31.637552977739688,1.4613892851067785,264.255620958236,92.12002631613328,55.437250292787986,23.122871877535612
7,2190.48994576318,258.68937174850174,1,1,2,33.0,2164.895644176565,439.7810408129613,2190.48994576318,1.0022886004441076,0.9767254841679017,1.0270609898262204,0.010816977084074132,19.34875544211306,-4.171287926526162,23.52004336863922,25.594301586615074,1.182241816387878,214.64716306393487,84.82894423695875,54.93852574841056,21.70490389976696
8,2195.88020169674,280.1172252378708,1,9,10,33.0,2164.895644176565,439.7810408129613,2195.8802016967397,1.0014315786237413,0.9776464497502323,1.0239654163210228,0.010633839641895041,158.98416958519374,136.48641861202395,22.497750973169786,30.984557520175258,1.4312263782100443,227.23666365772078,87.68935554995646,99.89454118743298,23.435963377363482
9,2190.986082084823,276.0149320948266,1,1,2,33.0,2164.895644176565,439.7810408129613,2190.986082084823,1.0019940197037531,0.9751736536906946,1.0259827187852235,0.01138989774353793,14.583177070929082,-8.56814856490223,23.151325635831313,26.09043790825808,1.2051591483607877,207.08291153141764,88.69440065301809,53.42733821322598,22.497243668351942
10,2193.7279136867146,288.0516115491287,1,1,2,32.0,2164.895644176565,439.7810408129613,2193.7279136867146,1.0012970528305016,0.9729244310883097,1.0254552609995615,0.011545492837610558,8.38152245131755,-17.59145598220323,25.97297843352078,28.832269510149672,1.3318087450407454,247.44155932037734,90.68435977344808,51.9561000047039,22.851023332515968
11,2197.6762061694453,274.5392061590067,1,1,2,32.0,2164.895644176565,439.7810408129613,2197.6762061694453,1.0012558449660391,0.9789589841988052,1.0230306721795441,0.01077168055567092,26.80619119042754,6.082047777262034,20.724143413165507,32.78056199288039,1.5141867036897632,244.41209387453128,92.47735338798837,99.6007446266016,24.437318821240442
12,2190.4026276439413,268.44370107699535,1,1,2,33.0,2164.895644176565,439.7810408129613,2190.4026276439413,1.0009720762308378,0.9745234174949426,1.0227326121466618,0.011484945389585732,25.972936984245848,2.112444449851779,23.86049253439407,25.506983467376358,1.1782084524946301,220.91143133235857,85.79921105443886,69.72800432754043,21.76644884985901
